delivery_id,order_id,rider_id,delivery_distance_km,delivery_time_mins,delivery_fee,rider_tip
8001,1001,503,1.8,53,30,0
8002,1002,501,3.9,32,50,0
8003,1003,505,3.0,54,50,10
8004,1005,501,7.1,15,60,0
8005,1006,508,4.6,25,60,0
8006,1007,501,8.4,42,50,10
8007,1008,501,4.1,39,60,10
8008,1009,502,7.2,37,60,10
8009,1010,502,7.0,45,40,0
8010,1011,506,2.3,44,60,20
8011,1014,507,4.9,49,30,0
8012,1015,505,6.3,21,60,0
8013,1016,501,7.5,30,60,20
8014,1020,501,3.6,40,50,10
8015,1022,503,2.8,16,30,20
8016,1023,502,6.4,15,60,10
8017,1024,505,7.1,26,60,10
8018,1025,510,3.7,19,40,0
8019,1028,506,1.9,51,60,0
8020,1029,507,8.1,46,60,0
8021,1030,504,4.1,23,40,0
