order_id,customer_id,restaurant_id,order_date,order_amount,payment_mode,order_status
1001,119,206,2026-08-08,762,Credit Card,Delivered
1002,112,210,2026-08-03,792,UPI,Delivered
1003,120,204,2026-08-03,1178,Credit Card,Delivered
1004,103,206,2026-08-01,1391,UPI,Cancelled
1005,105,202,2026-08-27,652,UPI,Delivered
1006,119,210,2026-08-05,916,Credit Card,Delivered
1007,107,202,2026-08-10,547,COD,Delivered
1008,109,210,2026-08-07,1020,COD,Delivered
1009,107,204,2026-08-26,944,COD,Delivered
1010,118,208,2026-08-09,542,COD,Delivered
1011,104,207,2026-08-28,356,COD,Delivered
1012,114,209,2026-08-07,1188,Credit Card,Cancelled
1013,118,208,2026-08-09,1041,Credit Card,Cancelled
1014,109,205,2026-08-08,1013,Debit Card,Delivered
1015,102,202,2026-08-12,892,COD,Delivered
1016,120,205,2026-08-02,1414,Credit Card,Delivered
1017,115,208,2026-08-01,713,Debit Card,Cancelled
1018,107,210,2026-08-16,1170,COD,Cancelled
1019,112,209,2026-08-23,245,UPI,Cancelled
1020,108,209,2026-08-23,634,Debit Card,Delivered
1021,115,201,2026-08-30,380,Credit Card,Cancelled
1022,103,209,2026-08-24,898,UPI,Delivered
1023,114,207,2026-08-05,1344,UPI,Delivered
1024,117,209,2026-08-03,690,UPI,Delivered
1025,104,208,2026-08-12,1209,Debit Card,Delivered
1026,118,201,2026-08-08,674,Credit Card,Cancelled
1027,108,208,2026-08-22,1333,UPI,Cancelled
1028,104,208,2026-08-27,1416,COD,Delivered
1029,102,203,2026-08-03,1259,UPI,Delivered
1030,106,201,2026-08-01,727,UPI,Delivered
